MaddeID,SiraNo,Bolum,StandartGrubu,KaynakTuru,StandartMaddeNo,KontrolBasligi,DenetciYonlendirmesi,YontemKodu,DogrulamaYontemi,HazirSecenekler,Olcu1Adi,Olcu1Birimi,Olcu2Adi,Olcu2Birimi,TahrikKosulu,MDKosulu,EsikDeger,EsikOperator,Aktif,AranmazKosulu,GorselReferansi,OlcumTanimlariJSON,OtomatikAranmazKuraliJSON,ResmiMaddeMetni,KaynakFormKodu,KaynakFormRevizyonu,KaynakFormTabloNo,KaynakFormSatirNo,DenetimProfilleriJSON,KaynakFormBolumu,KaynakFormAltGrubu
MAD-0607,607,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,6.3.9,Hidrolik Kontrol ve Testleri,"Debi kısıtlayıcı/tek yönlü debi kısıtlayıcı testi; Azami hız vmax'ın vd + 0,30 m/s'yi aşıp aşmadığının kontrolü ölçüm ile yapılır.","A,B,D,E",Görsel + Test + Çizim/Hesap + Talimat/İşaret,null,null,null,null,null,Hidrolik,null,null,null,true,null,null,[],null,"Debi kısıtlayıcı/tek yönlü debi kısıtlayıcı testi; Azami hız vmax'ın vd + 0,30 m/s'yi aşıp aşmadığının kontrolü ölçüm ile yapılır.",ÜB.FR.38,R.04,11,374,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0608,608,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.9.3.5.3.1,Hidrolik Kontrol ve Testleri,"Bir basınç tahliye valfi bulunmalıdır. Bu valf, pompa/pompalar ile geri dönüşsüz valf arasındaki devreye koyulmalı ve el pompa/pompaları hariç olmak üzere devre dışı bırakılması (baypas edilmesi) mümkün olmamalıdır. Hidrolik sıvı, tanka geri döndürülmelidir.","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,Hidrolik,null,null,null,true,null,null,[],null,"Bir basınç tahliye valfi bulunmalıdır. Bu valf, pompa/pompalar ile geri dönüşsüz valf arasındaki devreye koyulmalı ve el pompa/pompaları hariç olmak üzere devre dışı bırakılması (baypas edilmesi) mümkün olmamalıdır. Hidrolik sıvı, tanka geri döndürülmelidir.",ÜB.FR.38,R.04,11,375,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0609,609,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.9.3.5.3.2,Hidrolik Kontrol ve Testleri,"Basınç tahliye valfi, basıncı tam yük basıncının %140'ı ile sınırlandıracak şekilde ayarlanmalıdır.","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,Hidrolik,null,null,null,true,null,null,[],null,"Basınç tahliye valfi, basıncı tam yük basıncının %140'ı ile sınırlandıracak şekilde ayarlanmalıdır.",ÜB.FR.38,R.04,11,376,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0610,610,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.9.3.5.3.3,Hidrolik Kontrol ve Testleri,"Yüksek dâhilî kayıplar (hidrolik yük kaybı, sürtünme) nedeniyle gerekirse, basınç tahliye valfi daha büyük bir değere ayarlanabilir, ancak bu değer tam yük basıncının %170'ini geçmemelidir","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,Hidrolik,null,null,null,true,null,null,[],null,"Yüksek dâhilî kayıplar (hidrolik yük kaybı, sürtünme) nedeniyle gerekirse, basınç tahliye valfi daha büyük bir değere ayarlanabilir, ancak bu değer tam yük basıncının %170'ini geçmemelidir",ÜB.FR.38,R.04,11,377,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0611,611,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.9.3.5.1.1,Hidrolik devre kapama vanası,"Silindiri geri dönüşsüz valfe ve aşağı yön valfine bağlayan hidrolik devrede bir kapama vanası bulunduğunu; vananın erişilebilir, tanımlı ve devreyi güvenli biçimde ayırabilecek konumda olduğunu kontrol edin.","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,Hidrolik,null,null,null,true,null,null,[],null,"Bir kapama vanası bulunmalıdır. Bu vana, silindiri/silindirleri geri dönüşsüz valfe ve aşağı yön valfine/valflerine bağlayan devreye yerleştirilmelidir.",ÜB.FR.38,R.04,11,378,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0612,612,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.9.3.5.2.1,Hidrolik Kontrol ve Testleri,"Bir geri dönüşsüz valf bulunmalıdır. Bu valf, pompa/pompalar ile kapama vanası arasındaki devreye koyulmalıdır.","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,Hidrolik,null,null,null,true,null,null,[],null,"Bir geri dönüşsüz valf bulunmalıdır. Bu valf, pompa/pompalar ile kapama vanası arasındaki devreye koyulmalıdır.",ÜB.FR.38,R.04,11,379,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0613,613,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.9.3.5.2.2,Hidrolik Kontrol ve Testleri,"Geri dönüşsüz valf; pompa basıncının asgari çalışma basıncının altına düşmesi durumunda, anma yükü ile yüklü kabini her noktada sabit tutabilecek bir kapasiteye sahip olmalıdır.","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,Hidrolik,null,null,null,true,null,null,[],null,"Geri dönüşsüz valf; pompa basıncının asgari çalışma basıncının altına düşmesi durumunda, anma yükü ile yüklü kabini her noktada sabit tutabilecek bir kapasiteye sahip olmalıdır.",ÜB.FR.38,R.04,11,380,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0614,614,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.9.3.10.1,Hidrolik motor çalışma süresi kısıtlayıcısı deneyi,"Motor çalışma süresi kısıtlayıcısı testi -Hidrolik asansörler; bir hareket başlatıldığında, motor dönmüyorsa veya kabin hareket etmiyorsa, motorun enerjisinin kesilmesine neden olacak ve enerjisiz kalmasını sağlayacak bir motor çalışma süresi kısıtlayıcısı ile donatılmalıdır. Test asansör yukarı giderken yapılmalıdır. - Motor çalışma süresi kısıtlayıcısı aşağıdaki değerlerden küçük olanını aşmayacak bir süre içerisinde devreye girmelidir: a) 45 s; b) normal çalışmada anma yükünde tam tur süresi artı 10 s, tam tur süresi 10 s'den az ise minimum 20 s. - Normal çalışmaya dönüş, ancak elle yapılacak sıfırlama ile mümkün olmalıdır. Güç kaynağının kesilmesinden sonra, gücün tekrar gelmesi durumunda, makinenin hareketsiz konumda tutulması gerekli değildir. - Motor hareket süresi kısıtlayıcısı, devrede olsa dahi, kontrol çalışmasını ve elektrikli kayma önleme sistemini engellememelidir.","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,Hidrolik,null,null,null,true,null,null,[],null,"Motor çalışma süresi kısıtlayıcısı testi -Hidrolik asansörler; bir hareket başlatıldığında, motor dönmüyorsa veya kabin hareket etmiyorsa, motorun enerjisinin kesilmesine neden olacak ve enerjisiz kalmasını sağlayacak bir motor çalışma süresi kısıtlayıcısı ile donatılmalıdır. Test asansör yukarı giderken yapılmalıdır. - Motor çalışma süresi kısıtlayıcısı aşağıdaki değerlerden küçük olanını aşmayacak bir süre içerisinde devreye girmelidir: a) 45 s; b) normal çalışmada anma yükünde tam tur süresi artı 10 s, tam tur süresi 10 s'den az ise minimum 20 s. - Normal çalışmaya dönüş, ancak elle yapılacak sıfırlama ile mümkün olmalıdır. Güç kaynağının kesilmesinden sonra, gücün tekrar gelmesi durumunda, makinenin hareketsiz konumda tutulması gerekli değildir. - Motor hareket süresi kısıtlayıcısı, devrede olsa dahi, kontrol çalışmasını ve elektrikli kayma önleme sistemini engellememelidir.",ÜB.FR.38,R.04,11,382,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0615,615,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.9.3.9.1.1,Hidrolik asansörde elle kumandalı acil indirme valfi,"Asansör, elektrik kesilmesi durumunda dahi kabinin, yolcuların kabini terk edebilecekleri bir konuma kadar indirilebileceği, elle kumanda edilen, makine alanında bulunan acil indirme valfine sahip olmalıdır.","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,Hidrolik,null,null,null,true,null,null,[],null,"Asansör, elektrik kesilmesi durumunda dahi kabinin, yolcuların kabini terk edebilecekleri bir konuma kadar indirilebileceği, elle kumanda edilen, makine alanında bulunan acil indirme valfine sahip olmalıdır.",ÜB.FR.38,R.04,11,383,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0616,616,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.9.3.9.1.2,Acil indirme valfiyle aşağı hareket hızı,"Acil indirme valfi devredeyken, kabin hızı, 0,30 m/s’yi aşmamalıdır.","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçü 1,m/s,null,null,Hidrolik,null,null,null,true,null,null,[],null,"Acil indirme valfi devredeyken, kabin hızı, 0,30 m/s’yi aşmamalıdır.",ÜB.FR.38,R.04,11,384,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0617,617,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.9.3.9.1.3,Acil indirme valfinde sürekli basma şartı,"Acil indirme valfinin çalışması, sürekli manuel kuvvet uygulanmasını gerektirmelidir.","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,Hidrolik,null,null,null,true,null,null,[],null,"Acil indirme valfinin çalışması, sürekli manuel kuvvet uygulanmasını gerektirmelidir.",ÜB.FR.38,R.04,11,385,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0618,618,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.9.3.9.1.4,"Acil indirme valfi, istem dışı hareketlere karşı korunmalıdır","Acil indirme valfi, istem dışı hareketlere karşı korunmalıdır.","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,Hidrolik,null,null,null,true,null,null,[],null,"Acil indirme valfi, istem dışı hareketlere karşı korunmalıdır.",ÜB.FR.38,R.04,11,386,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0619,619,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.9.3.9.1.5,Düşük basınçta acil indirme valfinin davranışı,"Acil durum indirme valfi, basınç imalatçı tarafından önceden belirlenen bir değerin altına düştüğünde pistonun daha fazla alçalmasına neden olmamalıdır. Halatın/zincirin gevşeyebileceği dolaylı etkili asansörlerde, valfin elle kumanda edilmesi; pistonun, halatın/zincirin gevşemesine neden olacak noktadan daha fazla alçalmasına neden olmamalıdır.","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,Hidrolik,null,null,null,true,null,null,[],null,"Acil durum indirme valfi, basınç imalatçı tarafından önceden belirlenen bir değerin altına düştüğünde pistonun daha fazla alçalmasına neden olmamalıdır. Halatın/zincirin gevşeyebileceği dolaylı etkili asansörlerde, valfin elle kumanda edilmesi; pistonun, halatın/zincirin gevşemesine neden olacak noktadan daha fazla alçalmasına neden olmamalıdır.",ÜB.FR.38,R.04,11,387,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0620,620,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.9.3.9.1.6,Acil aşağı hareket valfi uyarı plakası,Acil durum çalışması ile aşağı yönde hareket için elle kumanda edilen valfin yanında üzerinde aşağıdaki ifade yazılı olan bir plaka bulunmalıdır: “Dikkat – Acil durum aşağı yönde hareket”,"A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,Hidrolik,null,null,null,true,null,null,[],null,Acil durum çalışması ile aşağı yönde hareket için elle kumanda edilen valfin yanında üzerinde aşağıdaki ifade yazılı olan bir plaka bulunmalıdır: “Dikkat – Acil durum aşağı yönde hareket”,ÜB.FR.38,R.04,11,388,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0621,621,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.9.3.9.2.1,Hidrolik asansörde acil yukarı hareket el pompası,"Her hidrolik asansörde kabinin yukarı doğru hareketini sağlayan bir el pompası kalıcı olarak bulunmalıdır. El pompası asansörün kurulu olduğu binada tutulmalı ve yalnızca yetkilendirilmiş kişi tarafından erişilebilir olmalıdır. Pompanın bağlantısının nasıl yapılacağına ilişkin talimatlar her asansör makinesinde erişilebilir olmalıdır. Kalıcı olarak kurulu olmadığı yerlerde, el pompasının nerede bulunduğu ve nasıl uygun şekilde bağlanacağı ile ilgili açık talimatlar, bakım ve kurtarma operatörlerinin kullanımına sunulmalıdır.","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,Hidrolik,null,null,null,true,null,null,[],null,"Her hidrolik asansörde kabinin yukarı doğru hareketini sağlayan bir el pompası kalıcı olarak bulunmalıdır. El pompası asansörün kurulu olduğu binada tutulmalı ve yalnızca yetkilendirilmiş kişi tarafından erişilebilir olmalıdır. Pompanın bağlantısının nasıl yapılacağına ilişkin talimatlar her asansör makinesinde erişilebilir olmalıdır. Kalıcı olarak kurulu olmadığı yerlerde, el pompasının nerede bulunduğu ve nasıl uygun şekilde bağlanacağı ile ilgili açık talimatlar, bakım ve kurtarma operatörlerinin kullanımına sunulmalıdır.",ÜB.FR.38,R.04,11,389,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0622,622,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.9.3.9.2.2,El pompasının hidrolik devreye bağlantısı,El pompası geri dönüşsüz valf veya aşağı yön valfi/valfleri ile kapama vanası arasındaki devreye bağlanmalıdır.,"A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,Hidrolik,null,null,null,true,null,null,[],null,El pompası geri dönüşsüz valf veya aşağı yön valfi/valfleri ile kapama vanası arasındaki devreye bağlanmalıdır.,ÜB.FR.38,R.04,11,390,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0623,623,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.9.3.9.2.3,El pompası basınç tahliye valfi,"El pompası, basıncı tam yük basıncının 2,3 katında kısıtlayan bir basınç tahliye valfi ile donatılmalıdır.","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,Hidrolik,null,null,null,true,null,null,[],null,"El pompası, basıncı tam yük basıncının 2,3 katında kısıtlayan bir basınç tahliye valfi ile donatılmalıdır.",ÜB.FR.38,R.04,11,391,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0624,624,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.9.3.9.2.4,Acil yukarı hareket el pompası uyarı plakası,Acil durum çalışması ile yukarı yönde hareket için el pompasının yanında üzerinde aşağıdaki ifade yazılı olan bir plaka bulunmalıdır: “Dikkat – Acil durum yukarı yönde hareket”,"A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,Hidrolik,null,null,null,true,null,null,[],null,Acil durum çalışması ile yukarı yönde hareket için el pompasının yanında üzerinde aşağıdaki ifade yazılı olan bir plaka bulunmalıdır: “Dikkat – Acil durum yukarı yönde hareket”,ÜB.FR.38,R.04,11,392,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0625,625,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.9.3.9.3,Kabinin kilit açılma bölgesinde olduğunun bağımsız kontrolü,"Asansör iki duraktan fazlaysa, elektrik besleme devresinden bağımsız bir tertibatla kabinin kilit açılma bölgesi içinde olup olmadığı kontrol edilebilmelidir.","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,Hidrolik,null,null,null,true,null,null,[],null,"Asansör iki duraktan fazlaysa, elektrik besleme devresinden bağımsız bir tertibatla kabinin kilit açılma bölgesi içinde olup olmadığı kontrol edilebilmelidir.",ÜB.FR.38,R.04,11,393,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0626,626,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.4.7.3 a,Kabin üstü dış kenarındaki açıklığın sınırlandırılması,"Kabin üstünün dış kenarı ile kuyu duvarı arasındaki mesafesinin 0,30 m'den fazla olduğu yerlerde, kabin üstünün dış kenarı ile ilgili aksamın arasına veya korkuluğun ucu ile aksamın arasına 0,30 m'den daha büyük çaplı yatay bir daire yerleştirmek mümkün olmamalıdır;","A,C,D",Görsel + Ölçüm + Çizim/Hesap,null,Ölçü 1,m,null,null,Hidrolik,null,null,null,true,null,null,[],null,"Kabin üstünün dış kenarı ile kuyu duvarı arasındaki mesafesinin 0,30 m'den fazla olduğu yerlerde, kabin üstünün dış kenarı ile ilgili aksamın arasına veya korkuluğun ucu ile aksamın arasına 0,30 m'den daha büyük çaplı yatay bir daire yerleştirmek mümkün olmamalıdır;",ÜB.FR.38,R.04,11,394,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0627,627,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.4.2.2.1 3),Hidrolik yük asansörü bileşenlerinin toplam yüke göre tasarımı,"Hidrolik asansörler için kabin tasarımında; kabin karkasında, kabin ile piston (silindir) arasındaki bağlantıda, kabin güvenlik tertibatında, boru kırılma valfinde, debi sınırlayıcıda/tek yönlü debi sınırlayıcıda, oturma aygıtında, kılavuz raylar ve istenmeyen hareketten koruma araçlarında, anma yüküne forklift ağırlığının ilave edilmesiyle bulunan toplam yük esas alınmalıdır.","B,C,D,E",Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,Hidrolik,null,null,null,true,null,null,[],null,"Hidrolik asansörler için kabin tasarımında; kabin karkasında, kabin ile piston (silindir) arasındaki bağlantıda, kabin güvenlik tertibatında, boru kırılma valfinde, debi sınırlayıcıda/tek yönlü debi sınırlayıcıda, oturma aygıtında, kılavuz raylar ve istenmeyen hareketten koruma araçlarında, anma yüküne forklift ağırlığının ilave edilmesiyle bulunan toplam yük esas alınmalıdır.",ÜB.FR.38,R.04,11,395,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0628,628,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.4.2.2.2,Hidrolik yük asansöründe azami kullanılabilir kabin alanı,"Hidrolik tahrikli yük asansöründe kabin alanı, aynı anma yükü için Çizelge 6 değerinden büyük olabilir; ancak Çizelge 7’deki azami alanı aşmamalıdır. Kabin net ölçülerinden bulunan alanı, beyan yüküyle birlikte Çizelge 6 ve 7 üzerinden doğrulayın.","B,C,D,E",Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,Hidrolik,null,null,null,true,null,"G-8120-C6-C7 — Hidrolik yük asansörlerinde kabin alanı, Çizelge 6 ve 7",[],null,"Hidrolik tahrikli yük yolcu asansörleri için kabinin kullanılabilir alanı Çizelge 6'da belirlenen değerden daha büyük olabilir, fakat karşılık gelen anma yükü için Çizelge 7'den belirlenen değeri aşmamalıdır.",ÜB.FR.38,R.04,11,396,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0629,629,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.4.2.2.3,Dengeleme ağırlıklı hidrolik yük asansöründe basınç sınırı,"Dengeleme ağırlığı bulunan hidrolik yük asansöründe, Çizelge 6’dan kabin alanına karşılık gelen yükün; kaldırıcı ve boru donanımının tasarım basıncının 1,4 katından daha yüksek basınç oluşturmamasını teknik dosya ve deney verileri üzerinden doğrulayın.","B,C,D,E",Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,Hidrolik,null,null,null,true,null,"G-8120-C6-C7 — Hidrolik yük asansörlerinde kabin alanı, Çizelge 6 ve 7",[],null,"Hidrolik tahrikli yük yolcu asansörleri için dengeleme ağırlıklı bir asansörün kullanılabilir kabin alanı, Çizelge 6'dan (5.4.2.1) bulunan kabin yükü, kaldırıcı ve boru donanımının tasarlandığı basıncın 1,4 katını aşacak bir basınca neden olmayacağı şekilde tasarlanmalıdır.",ÜB.FR.38,R.04,11,397,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0630,630,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.4.2.2.4,Hidrolik yük asansörü bileşenlerinin esas alınan tasarım yükü,"Kabin, kabin karkası, kabin–piston bağlantısı, dolaylı tahrikte askı tertibatı, güvenlik tertibatı, boru kırılma valfi, debi sınırlayıcı, oturma aygıtı, kılavuz raylar ve tamponların tasarımında Çizelge 6’dan elde edilen yükün esas alındığını teknik dosyadan doğrulayın. Silindir hesabında Çizelge 7’deki anma yükü kullanılabilir.","B,C,D,E",Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçülen değer,null,null,null,Hidrolik,null,null,null,true,null,"G-8120-C6-C7 — Hidrolik yük asansörlerinde kabin alanı, Çizelge 6 ve 7",[],null,"Hidrolik tahrikli yük yolcu asansörleri için kabinin, kabin karkasının, kabin ile piston (silindir) arasındaki bağlantının, askı tertibatının (dolaylı etkili asansörlerde), kabin güvenlik tertibatının, boru kırılma valfinin, debi sınırlayıcının/tek yönlü debi sınırlayıcının, oturma aygıtının, kılavuz rayların ve tamponların tasarımı, Çizelge 6’dan elde edilen bir yük esas alınarak yapılmalıdır. Silindir, Çizelge 7'de verilen anma yüküne göre hesaplanabilir.",ÜB.FR.38,R.04,11,398,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0631,631,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.5.5.3 b),Hidrolik askı tertibatında gevşek halat veya zincir güvenliği,"Hidrolik asansörlerde, eğer gevşek halat (veya zincir) riski varsa, bir elektrik güvenlik aygıtı, gevşeme meydana geldiğinde makinenin durmasını sağlamalıdır. Durduktan sonra normal çalışma engellenmelidir. İki veya daha fazla kaldırıcılı hidrolik asansörlerde bu gereklilik her askı düzeneği için geçerlidir.","B,D",Test + Çizim/Hesap,null,null,null,null,null,Hidrolik,null,null,null,true,null,null,[],null,"Hidrolik asansörlerde, eğer gevşek halat (veya zincir) riski varsa, bir elektrik güvenlik aygıtı, gevşeme meydana geldiğinde makinenin durmasını sağlamalıdır. Durduktan sonra normal çalışma engellenmelidir. İki veya daha fazla kaldırıcılı hidrolik asansörlerde bu gereklilik her askı düzeneği için geçerlidir.",ÜB.FR.38,R.04,11,399,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
MAD-0632,632,05 - Elektrik ve Test,81-20,Standart / ÜB.FR.38,5.9.3.8.1,Hidrolik asansörün anma hızı sınırı,"Yukarı doğru vm ve aşağı doğru vd anma hızları 1,0 m/s'den büyük olmamalıdır .","A,B,C,D,E",Görsel + Test + Ölçüm + Çizim/Hesap + Talimat/İşaret,null,Ölçü 1,m/s,null,null,Hidrolik,null,null,null,true,null,null,[],null,"Yukarı doğru vm ve aşağı doğru vd anma hızları 1,0 m/s'den büyük olmamalıdır .",ÜB.FR.38,R.04,11,400,"[""modul_g_tam""]",HİDROLİK ASANSÖRLERİN KONTROL VE TESTLERİ ASANSÖR HİDROLİK DEĞİLSE İŞARETLEYİNİZ; İLGİLİ DEĞİL,null
